building_id,height_m,height_quality,height_valid,confidence,full_plus_code,distance_from_center_m,area_m2,intersects_boundary
06b5000000000023c442,5.875,HIGH,1,0.8234999775886536,6P58RR6C+32FV,1101.5,45.0,False
06b500000000002df7e4,8.09375,HIGH,1,0.722599983215332,6P58RRH8+47XR,1101.7,35.8,False
06b500000000001a4754,7.2890625,HIGH,1,0.7480000257492065,6P58RR6C+269V,1101.7,139.1,False
06b500000000002eea2a,5.28125,HIGH,1,0.8410000205039978,6P58RR87+27GJ,1101.8,61.5,False
06b500000000004092bf,5.671875,HIGH,1,0.7839000225067139,6P58RR68+FR5V,1101.8,514.3,False
06b500000000001c5b53,5.7890625,HIGH,1,0.864799976348877,6P58RR77+9PRM,1101.9,122.6,False
06b500000000002fcd5d,4.28125,HIGH,1,0.9071000218391418,6P58RR6H+Q4HP,1102.0,132.1,False
06b500000000002ac94a,3.1015625,LOW,1,0.6991000175476074,6P58RR6G+FMVM,1102.2,6.8,False
06b5000000000012dfc5,5.90625,HIGH,1,0.8080000281333923,6P58RR69+5J6W,1102.2,71.1,False
06b5000000000022bfeb,2.53125,MEDIUM,1,0.8051999807357788,6P58RR87+C3VJ,1102.3,74.2,False
06b500000000002ff774,57.1796875,HIGH,1,0.7289999723434448,6P58RR68+R85G,1102.4,56.4,False
06b5000000000036495e,4.890625,HIGH,1,0.7394000291824341,6P58RRH9+M5C6,1102.4,34.4,False
06b50000000000226d27,88.14067444620252,HIGH,1,0.8014000058174133,6P58RR5F+X9H2,1102.6,3194.9,False
06b50000000000013125,5.8125,HIGH,1,0.8299999833106995,6P58RR96+JQM2,1102.8,403.4,False
06b5000000000004244a,5.46875,HIGH,1,0.7508999705314636,6P58RR87+37JC,1102.9,25.1,False
06b500000000001a65cc,6.140625,HIGH,1,0.8514999747276306,6P58RR77+R9V9,1103.1,114.3,False
06b5000000000021f879,6.8515625,HIGH,1,0.7369999885559082,6P58RR69+3XHW,1103.1,20.0,False
06b500000000002c5a0e,1.890625,HIGH,1,0.8252999782562256,6P58RRH8+7FRH,1103.2,86.8,False
06b500000000000a15a9,9.046875,HIGH,1,0.8668000102043152,6P58RRHC+X255,1103.2,127.8,False
06b500000000003c4566,8.1015625,HIGH,1,0.8543000221252441,6P58RRC6+MRRM,1103.4,128.1,False
06b5000000000016c243,5.6484375,LOW,1,0.7648000121116638,6P58RR6H+V64P,1103.5,37.0,False
06b5000000000031ccdf,11.6171875,HIGH,1,0.8223999738693237,6P58RR77+8QCC,1103.5,245.5,False
06b5000000000006349d,5.328125,HIGH,1,0.8184000253677368,6P58RR87+46JQ,1103.5,65.4,False
06b500000000001ebc71,5.5078125,MEDIUM,1,0.8090000152587891,6P58RRF7+G3RW,1103.6,57.2,False
06b500000000003a5421,4.1171875,HIGH,1,0.8359000086784363,6P58RR68+GPGW,1103.6,182.9,False
06b500000000002033b4,5.7734375,HIGH,1,0.8154000043869019,6P58RRG7+37G5,1103.7,394.7,False
